DNI,Id. Empleat,Tipus de sol�licitud,CP,Telefon,DataNaix,Sexe,Email per notificacions,CP per notificacions,%Minus,Adaptacio Centre base,Apte Segons centre base,exclos,Niv cat,Comprobar amb pol. lingüística,proba física superada,carnet conducir,examen1,examen2,examen3,examen4,examen5,Municipi
57719681P,3067241,Certificat digital,07905,+34 599766066,28/11/1993,F,xqlgjqxh@yahoo.com,07991,0.0,False,True,False,A2,True,False,Sí,10.0,10.0,8.59,5.11,0.0,Sant Joan de Labritja
14506292P,1912929,PreZëncial,07805,+34 556000034,31/01/1994,M,syejqbule@example.com,07792,0.0,False,True,False,B1,True,False,Sí,10.0,8.5,9.1,10.0,10.0,Ibiza
HV872004,3995819,PreZëncial,07360,+34 111177525,15/11/1979,M,nczvr@example.com,07360,0.0,False,True,False,A2,True,True,Sí,4.25,7.41,NP,2.35,0.0,Marratxí
16738115A,7018051,PreZëncial,07805,+34 390081705,15/01/1979,M,pyimw@example.com,07950,0.0,False,True,False,C1,True,True,Sí,0.0,9.01,,2.26,4.54,Ibiza
64097032B,7735873,PreZëncial,07494,+34 576743006,17/10/1992,M,axyey@example.com,07126,0.0,False,True,False,C1,True,True,Si,4.6,8.02,NP,7.51,8.89,Sant Llorenç des Cardassar
SM946709,1516746,PreZëncial,07915,+34 255358033,08/03/1974,M,lvnjxrq@gmail.com,07805,0.0,False,True,False,B1,True,True,Sí,10.0,7.17,NP,,2.2,Capdepera
MY742807,7967396,PreZëncial,07544,+34 995133656,31/07/1988,F,roxdcbsw@gmail.com,07595,0.0,False,True,False,C1,True,True,Sí,10.0,6.54,3.74,6.81,NP,Lloseta
85527344G,1848809,PreZëncial,07737,+34 719492705,17/09/2003,F,yxnqlkuu@gmail.com,07200,0.0,False,True,False,B1,True,True,Sí,8.27,7.19,5.12,NP,6.39,Mahón (Maó)
03440949B,3354690,Certificat digital,07805,+34 798451078,27/05/1976,F,yjyww@gmail.com,07803,0.0,False,True,False,B1,True,True,Sí,NP,7.58,9.05,3.1,10.0,Ibiza
61634116G,1355005,Correu electrònic,07360,+34 206094761,01/12/1974,F,ijeog@gmail.com,07991,0.0,False,True,False,C1,True,True,Sí,7.0,6.44,6.74,,4.01,Marratxí
59522431H,394204,PreZëncial,07121,+34 563456298,16/08/1987,M,prszpxdp@hotmail.com,07805,0.0,False,True,False,C1,True,True,Sí,6.53,10.0,7.75,,3.7,Alcúdia
DN817633,966669,PreZëncial,07494,+34 868712374,14/04/1994,M,plochxixpl@yahoo.com,07360,0.0,False,True,False,B1,True,True,Sí,7.15,,7.32,NP,0.58,Sant Llorenç des Cardassar
HV665829,1897227,PreZëncial,07792,+34 941145663,20/01/2000,M,fftafr@example.com,07158,0.0,False,True,False,B2,True,True,Si,10.0,8.5,6.51,2.74,10.0,Algaida
47168382M,7291728,PreZëncial,07612,+34 375641827,28/09/1991,M,hsgcv@yahoo.com,07737,0.0,False,True,False,B2,True,True,Sí,2.35,5.84,5.68,NP,6.25,Alaior
OP236834,7976329,Certificat digital,07803,+34 456017915,28/06/1984,F,fjiao@outlook.com,07915,0.0,False,True,False,A2,True,True,Sí,10.0,7.89,7.49,2.81,8.36,Felanitx
32729794N,8570022,Certificat digital,07126,+34 383403158,21/04/1995,M,fmnxvv@outlook.com,07603,0.0,False,True,False,B2,True,True,No,6.66,9.69,5.96,4.83,3.17,Santa Eulalia del Río (Santa Eulària des Riu)
PU836187,895192,Correu electrònic,07805,+34 542555179,11/02/1988,M,abvzho@yahoo.com,07905,0.0,False,True,False,B2,True,True,Si,10.0,5.5,6.21,2.27,6.18,Ibiza
15437967E,6015719,PreZëncial,07595,+34 572034697,12/07/1989,F,rnfbedyv@hotmail.com,07657,0.0,False,False,False,C1,True,True,Sí,0.0,5.74,7.85,,10.0,Llucmajor
34549075Q,3866530,PreZëncial,07803,+34 780301622,08/11/1990,M,duxlsxj@yahoo.com,07905,0.0,False,False,False,C2,True,True,Sí,5.78,6.43,7.79,8.37,10.0,Felanitx
13939216C,692854,PreZëncial,07404,+34 555841691,31/08/2003,F,cwwmkrb@outlook.com,07657,0.0,False,True,False,A2,True,True,Sí,10.0,8.4,6.38,5.08,NP,Sant Antoni de Portmany
20224519K,3267099,PreZëncial,07158,+34 117530539,06/09/1979,M,elamsskn@yahoo.com,07991,0.0,False,True,False,C1,True,True,Sí,0.0,4.74,7.09,2.85,8.11,Artà
45635555J,6963649,Certificat digital,07500,+34 974665116,03/11/1973,F,lswifby@example.com,07818,0.0,False,True,False,B2,True,True,Sí,10.0,9.83,5.01,4.32,8.57,Campos
41661129X,2517268,PreZëncial,07222,+34 607739737,22/11/1990,M,cbvfc@gmail.com,07494,0.0,False,True,False,B1,True,True,Sí,3.37,7.57,,0.0,7.52,Pollença
85060368C,345210,PreZëncial,07121,+34 798443431,10/11/1983,F,jddpxrysi@gmail.com,07747,0.0,False,True,False,B2,True,True,Sí,0.0,7.49,6.05,9.78,2.28,Alcúdia
77320769J,1443285,PreZëncial,07200,+34 864077717,24/12/1981,F,nipxrwz@example.com,07737,0.0,False,True,False,B2,True,True,Si,10.0,10.0,6.49,0.0,9.78,Sant Josep de sa Talaia
62642704L,4990487,PreZëncial,07222,+34 785601699,19/02/1993,M,hvyclssc@example.com,07803,0.0,False,True,False,A2,True,True,Si,10.0,4.73,8.16,3.87,2.56,Pollença
80611417M,5373011,PreZëncial,07200,+34 006429971,03/11/1978,F,wnjychcy@yahoo.com,07805,0.0,False,True,False,A2,True,False,Sí,0.0,4.87,7.37,4.67,NP,Sant Josep de sa Talaia
31528373L,6529427,Correu electrònic,07121,+34 533337033,16/05/1987,F,mmsrr@outlook.com,07740,0.0,False,True,False,B2,True,True,Sí,10.0,NP,6.25,0.28,0.33,Alcúdia
91576571R,6774092,PreZëncial,07500,+34 274375540,09/01/1988,M,vrvjrcm@yahoo.com,07222,0.0,False,True,False,A2,True,True,Sí,8.96,8.96,7.89,7.74,9.11,Campos
16220505P,550824,PreZëncial,07818,+34 932274265,03/03/1986,M,vwfjmat@example.com,07991,0.0,False,True,False,C1,True,True,Sí,7.95,8.12,,0.81,10.0,Sóller
GG852262,8255972,Correu electrònic,07905,+34 778249376,29/10/1979,F,otjno@outlook.com,07360,0.0,False,True,False,B2,True,True,Sí,5.68,6.34,6.58,4.82,7.06,Sant Joan de Labritja
08728174L,5315044,PreZëncial,07737,+34 884777526,13/05/1997,F,qjmwkpw@outlook.com,07038,0.0,False,True,False,B2,True,True,Sí,10.0,5.08,7.72,6.13,NP,Mahón (Maó)
35960852F,5019693,PreZëncial,07360,+34 303343723,03/05/2003,M,fjtgk@gmail.com,07431,0.0,False,True,False,A2,True,True,No,5.08,NP,5.96,3.68,6.52,Marratxí
OV584544,6927192,PreZëncial,07222,+34 570606457,04/06/2000,F,odtldl@example.com,07612,0.0,False,True,False,C1,True,False,Sí,5.78,6.52,6.68,10.0,NP,Pollença
29982963W,440438,PreZëncial,07805,+34 378153187,14/04/1994,M,lebnncv@gmail.com,07544,0.0,False,True,False,C2,True,True,Sí,9.17,10.0,NP,,3.46,Ibiza
92332354G,4574722,PreZëncial,07200,+34 907482971,12/01/1983,F,mrmwk@gmail.com,07158,0.0,False,True,False,B1,True,True,Sí,0.0,10.0,8.85,8.74,9.24,Sant Josep de sa Talaia
AQ911656,3158950,Certificat digital,07905,+34 908504150,03/06/1982,F,sqbnuejat@outlook.com,07360,0.0,False,True,False,C1,False,False,Sí,7.77,7.08,5.86,7.25,NP,Sant Joan de Labritja
65725155X,4002370,PreZëncial,07747,+34 312115454,31/03/1978,M,pkaouk@yahoo.com,07818,0.0,False,True,False,A2,True,True,Sí,4.7,10.0,6.24,NP,7.09,Inca
SL031913,5439755,PreZëncial,07915,+34 396183809,23/03/2001,F,szemfikh@example.com,07915,0.0,False,True,False,C1,True,False,No,2.43,4.77,5.47,4.77,8.09,Capdepera
09372459M,4888922,Certificat digital,07818,+34 483585096,29/04/1981,M,wgrhhqt@gmail.com,07792,0.0,False,True,False,A1,True,True,No,6.35,NP,5.39,4.76,2.42,Sóller
02943375L,1873534,Correu electrònic,07200,+34 063246450,16/05/1984,N,semlm@example.com,07222,0.0,False,True,False,A2,True,True,Sí,5.85,5.5,7.37,1.49,5.42,Sant Josep de sa Talaia
97066349R,1853153,PreZëncial,07915,+34 035567196,30/01/1992,M,bqagfvb@example.com,07603,0.0,False,True,False,C2,True,True,Si,10.0,10.0,6.74,0.0,3.14,Capdepera
SY513176,9223058,PreZëncial,07360,+34 535789161,05/01/1989,F,ldcoubgg@gmail.com,07747,0.0,False,True,False,B1,True,True,Sí,NP,8.07,6.69,3.47,0.13,Marratxí
FZ965017,8110452,PreZëncial,07500,+34 081792554,02/10/1996,M,pvxsnwatfq@outlook.com,07737,0.0,False,True,False,A2,True,True,Sí,8.06,NP,8.65,6.16,0.0,Campos
51967490W,1198969,Correu electrònic,07603,+34 139863343,05/09/1979,M,dueqfkeim@outlook.com,07657,64.0,True,True,False,A2,True,True,Sí,0.49,9.74,NP,NP,10.0,Son Servera
04486877Z,6571971,Certificat digital,07516,+34 284427070,06/09/1998,F,vvrcqvyrrv@yahoo.com,07516,0.0,False,True,False,A2,True,True,Sí,10.0,8.7,NP,8.02,6.83,Santanyí
80285818V,3336582,PreZëncial,07222,+34 047670069,13/12/1984,M,ovlzvu@example.com,07991,0.0,False,True,False,A2,True,True,Sí,NP,7.4,6.57,NP,9.2,Pollença
23780844V,1578416,PreZëncial,07818,+34 207332477,04/07/1976,F,thzrdck@example.com,07158,0.0,False,True,False,A2,True,True,Sí,5.09,7.26,7.25,2.0,6.13,Sóller
GB768826,4650283,PreZëncial,07905,+34 132776669,20/10/1993,M,jofdguzv@outlook.com,07603,0.0,False,True,False,B1,True,False,Sí,8.22,5.38,6.55,7.08,9.46,Sant Joan de Labritja
DB331648,647733,Correu electrònic,07737,+34 550534114,22/07/1980,M,nfjdndafeq@yahoo.com,07126,0.0,False,True,False,B1,True,False,No,1.2,6.92,9.09,1.51,10.0,Mahón (Maó)
82718662J,2686936,PreZëncial,07612,+34 210773263,31/01/2001,M,mybaoxctzk@hotmail.com,07803,0.0,False,True,False,B2,True,True,Sí,5.82,8.7,NP,0.21,1.13,Alaior
62643231V,6678688,Certificat digital,07950,+34 402873661,06/04/1978,M,sqoyrh@hotmail.com,07805,0.0,False,True,False,B2,True,False,No,10.0,5.49,NP,9.31,9.33,Búger
83955264C,5557788,PreZëncial,07360,+34 995609206,31/10/1996,M,fcabkq@yahoo.com,07544,0.0,False,True,False,A2,True,True,Sí,10.0,7.29,NP,8.98,6.72,Marratxí
19379603X,8125735,PreZëncial,07803,+34 058713288,27/04/1994,F,eeihnt@outlook.com,07544,0.0,False,True,False,C1,True,True,Sí,10.0,5.03,5.43,,NP,Felanitx
54415079T,2088049,PreZëncial,07360,+34 087532301,22/09/1982,F,wczuvysbbg@example.com,07121,0.0,False,True,False,A2,True,True,Si,10.0,10.0,6.6,4.22,3.41,Marratxí
34771840A,7043379,PreZëncial,07121,+34 327264258,20/06/1989,F,ihitegcl@outlook.com,07950,0.0,False,True,False,A2,True,True,Sí,10.0,8.8,NP,2.44,2.23,Alcúdia
JK967335,1757941,PreZëncial,07222,+34 628356173,30/08/1997,M,netbpldxsq@hotmail.com,07360,0.0,False,True,False,C2,True,True,No,10.0,5.43,8.22,,10.0,Pollença
15427457T,4028277,Certificat digital,07603,+34 718131861,12/12/1989,M,qfvlaptip@outlook.com,07747,0.0,False,True,False,A2,True,True,No,6.76,8.89,7.22,0.67,2.73,Son Servera
LM770016,569571,PreZëncial,07516,+34 707890751,26/12/1974,M,tgmayqzwec@yahoo.com,07544,26.0,False,True,False,B1,True,True,Sí,9.85,7.34,6.61,0.0,2.3,Santanyí
CV926415,8408865,PreZëncial,07516,+34 710705124,26/08/1995,M,sktdlavmyl@gmail.com,07805,0.0,False,True,False,A2,True,True,Sí,0.0,5.82,7.2,NP,6.8,Santanyí
67394855W,3215612,Certificat digital,07404,+34 200298768,21/02/1976,M,ktmyxgsbk@outlook.com,07915,0.0,False,True,False,C2,True,True,Sí,4.56,10.0,7.05,NP,7.73,Sant Antoni de Portmany
04498269K,1623553,PreZëncial,07740,+34 674053710,07/10/2001,F,qydakqpbjp@gmail.com,07603,19.0,False,True,False,C1,True,True,Sí,10.0,5.21,7.46,7.07,NP,Ciutadella de Menorca
86925440E,1753495,PreZëncial,07494,+34 769778542,26/03/1985,F,ywdwwt@example.com,07431,0.0,False,True,False,B2,True,True,Sí,NP,10.0,7.5,6.61,10.0,Sant Llorenç des Cardassar
88460699P,6468340,PreZëncial,07200,+34 350205176,15/12/2003,M,lnbny@outlook.com,07612,0.0,False,True,False,B1,True,True,Sí,7.09,8.76,6.83,3.13,5.96,Sant Josep de sa Talaia
PQ173270,3739321,Certificat digital,07805,+34 626979538,19/03/1998,M,xwusjnvh@yahoo.com,07516,0.0,False,True,False,B2,True,True,Sí,0.0,8.32,5.76,NP,2.69,Ibiza
33558789H,2496460,PreZëncial,07792,+34 160182590,01/01/1979,F,kqwed@hotmail.com,07038,0.0,False,True,False,B1,True,True,Sí,8.34,6.37,7.14,7.05,1.85,Algaida
59341448E,3428605,Certificat digital,07612,+34 279033752,11/05/1982,F,wzfatxkxzr@yahoo.com,07431,0.0,False,True,False,C1,True,True,Sí,6.3,7.55,8.67,2.97,6.85,Alaior
76787572W,8222217,PreZëncial,07818,+34 243301210,04/01/2001,M,lwmsxta@outlook.com,07222,0.0,False,True,False,A2,True,True,Sí,10.0,8.25,NP,6.15,10.0,Sóller
HD723509,7820547,PreZëncial,07803,+34 926350165,21/03/1997,F,puhvwdj@yahoo.com,07905,0.0,False,True,False,A2,True,True,Sí,5.09,8.72,5.35,NP,NP,Felanitx
30455424C,8784787,PreZëncial,07544,+34 962962676,16/05/1991,F,bbnzzxtpmk@gmail.com,07905,0.0,False,True,False,A2,True,True,Si,4.35,8.3,6.19,5.21,2.7,Lloseta
AV938209,4313879,PreZëncial,07657,+34 394870142,31/08/1974,M,vcyqc@example.com,07222,0.0,False,True,False,B1,True,True,Sí,3.85,7.32,5.68,4.91,5.15,Ses Salines
95423183R,5869666,PreZëncial,07737,+34 785601825,01/06/1978,F,dypfsw@yahoo.com,07818,0.0,False,True,False,C1,True,True,No,0.0,6.15,6.05,10.0,10.0,Mahón (Maó)
83153219P,1587950,PreZëncial,07500,+34 901419146,04/12/1975,F,znsuim@yahoo.com,07126,0.0,False,True,False,B2,True,True,Sí,,7.69,NP,5.86,10.0,Campos
53285389R,689770,Correu electrònic,07737,+34 868863076,07/03/1986,M,mohdfoejnr@hotmail.com,07740,0.0,False,True,False,B1,True,True,Sí,10.0,9.58,7.67,10.0,3.11,Mahón (Maó)
96733571X,8683053,PreZëncial,07595,+34 348604059,04/07/1983,M,ipzilb@example.com,07516,0.0,False,True,False,C2,True,False,Sí,3.77,,6.44,NP,1.12,Llucmajor
39382492Y,5478897,Correu electrònic,07818,+34 230415831,30/06/1982,F,fozhokzs@yahoo.com,07805,0.0,False,True,False,A2,True,True,Sí,0.0,8.26,6.68,2.49,8.84,Sóller
90858076A,7376660,Certificat digital,07603,+34 569102762,07/02/1974,M,vtvtizjg@yahoo.com,07431,0.0,False,True,False,B1,True,True,Sí,10.0,7.48,6.01,NP,NP,Son Servera
QJ801578,1990806,Correu electrònic,07818,+34 071013852,07/06/1995,F,yqatn@yahoo.com,07747,0.0,False,True,False,C1,True,True,Sí,NP,10.0,8.39,7.81,5.92,Sóller
20683802V,3151185,Correu electrònic,07404,+34 752178719,24/12/1982,F,ofqxmefa@outlook.com,07222,0.0,False,True,False,B1,True,True,Sí,8.21,6.6,NP,5.91,7.55,Sant Antoni de Portmany
98512383W,7085348,PreZëncial,07222,+34 468215481,15/06/1989,M,ztluusfrh@outlook.com,07740,0.0,False,True,False,C1,True,True,Sí,1.67,10.0,7.2,6.45,4.78,Pollença
99743095F,1280396,PreZëncial,07915,+34 847369264,08/04/1986,F,vkohljwejh@outlook.com,07544,0.0,False,True,False,C2,True,True,No,10.0,5.81,6.5,6.91,10.0,Capdepera
22071389Z,1279490,Certificat digital,07737,+34 948253120,28/06/1980,M,shops@gmail.com,07915,0.0,False,True,False,A1,True,True,No,5.63,9.72,6.11,0.0,NP,Mahón (Maó)
53929861J,4788833,PreZëncial,07805,+34 007299380,28/02/2002,N,bgsbbjn@outlook.com,07905,0.0,False,True,False,C1,True,True,Sí,10.0,8.87,7.05,NP,NP,Ibiza
BL094500,7289184,Certificat digital,07915,+34 059625797,26/02/1980,F,nihfnbx@outlook.com,07126,0.0,False,True,False,A2,True,True,No,5.11,7.51,NP,2.08,NP,Capdepera
YD942754,1700567,PreZëncial,07657,+34 217584513,15/12/1980,F,mmadeo@yahoo.com,07126,0.0,False,True,False,B1,True,True,Sí,8.36,8.54,6.78,1.24,7.93,Ses Salines
86281548S,2268703,PreZëncial,07494,+34 068929406,22/07/1979,M,oncbie@yahoo.com,07158,0.0,False,True,False,A2,True,True,Sí,10.0,4.24,6.19,3.01,5.09,Sant Llorenç des Cardassar
88047850D,7817558,Correu electrònic,07803,+34 151362407,15/01/1977,F,uyqduv@gmail.com,07431,0.0,False,True,False,B2,True,True,Si,5.28,9.93,8.86,3.29,NP,Felanitx
KL120764,6728100,PreZëncial,07950,+34 001767644,11/07/2000,F,dorwxchekh@hotmail.com,07991,0.0,False,True,False,C2,True,True,Sí,0.24,NP,8.46,5.26,3.61,Búger
42016879L,7549535,PreZëncial,07915,+34 259995263,05/01/1985,M,whrwbkjz@gmail.com,07740,0.0,False,True,False,A2,True,True,Sí,10.0,6.66,6.95,0.16,9.85,Capdepera
46544416Y,5366049,PreZëncial,07737,+34 357056336,24/06/1989,F,rpdjxh@example.com,07805,0.0,False,True,False,B2,True,True,No,5.45,9.23,7.67,10.0,4.58,Mahón (Maó)
35265353M,6631114,PreZëncial,07991,+34 085793764,13/03/1997,F,fduxef@outlook.com,07818,0.0,False,True,False,B2,True,True,Si,9.02,6.91,5.2,1.15,0.61,Petra
YI498909,8841595,Correu electrònic,07915,+34 787931979,24/12/1982,F,rwdjvowvc@gmail.com,07360,27.0,False,True,False,B2,True,True,Sí,2.65,10.0,7.99,1.16,10.0,Capdepera
46098136H,6969329,PreZëncial,07121,+34 601569715,11/11/2001,M,dyyvoz@gmail.com,07494,0.0,False,True,False,A2,True,False,Sí,6.56,8.01,,10.0,2.65,Alcúdia
XM625395,2938858,Correu electrònic,07657,+34 976677598,02/01/2003,M,xdohex@yahoo.com,07805,0.0,False,True,False,B1,True,True,Sí,10.0,8.15,5.05,7.83,5.62,Ses Salines
UM574369,5625098,PreZëncial,07657,+34 317134166,09/01/1995,F,krezsjg@outlook.com,07737,0.0,False,True,False,B2,True,True,Sí,8.08,6.27,6.88,6.19,0.49,Ses Salines
32641572H,4348233,Certificat digital,07740,+34 673624863,18/05/2004,F,rgkcx@hotmail.com,07905,0.0,False,True,False,B1,True,True,Sí,0.0,7.62,8.52,3.18,8.26,Ciutadella de Menorca
63137631D,7793965,PreZëncial,07200,+34 722602715,13/05/2000,F,sirfth@example.com,07805,0.0,False,True,False,B2,True,True,Sí,6.23,4.57,6.89,0.0,4.21,Sant Josep de sa Talaia
63384890H,6316908,Certificat digital,07950,+34 965738638,21/12/1976,F,dfjftn@outlook.com,07803,0.0,False,True,False,C1,True,True,Sí,9.81,9.75,,7.53,3.29,Búger
09813138G,2633895,PreZëncial,07792,+34 260939828,13/10/1999,F,ojdkroac@hotmail.com,07222,11.0,False,True,False,B2,True,True,Sí,NP,5.93,7.45,9.68,9.74,Algaida
KQ033857,8302488,PreZëncial,07747,+34 650156173,14/11/1983,F,aegroih@outlook.com,07200,0.0,False,True,False,B1,True,True,Sí,3.66,6.02,NP,7.7,2.69,Inca
62716554Q,8935760,PreZëncial,07915,+34 890803125,14/06/1984,F,uoxzmykjnr@example.com,07360,0.0,False,True,False,C2,True,True,Si,10.0,8.12,6.74,NP,8.39,Capdepera
45541968J,8388815,Certificat digital,07595,+34 261264914,16/10/1980,M,vmggyapg@example.com,07747,0.0,False,True,False,B1,True,True,Sí,6.78,6.06,6.5,4.21,3.78,Llucmajor
16340887P,7026954,Certificat digital,07612,+34 302925841,23/02/1983,F,rkgaauzqj@example.com,07158,0.0,False,True,False,B2,True,True,No,,6.35,8.05,NP,5.22,Alaior
29029128T,4184720,PreZëncial,07905,+34 373731769,12/01/1983,F,gbzwo@yahoo.com,07950,0.0,False,True,False,B2,True,True,Sí,1.3,7.85,5.08,10.0,6.13,Sant Joan de Labritja
36556703C,8679571,PreZëncial,07803,+34 306053141,29/11/1993,F,foxam@outlook.com,07657,0.0,False,True,False,A2,True,True,Sí,10.0,6.95,5.68,3.47,7.66,Felanitx
15951104Y,3018059,PreZëncial,07603,+34 678922541,28/04/1984,F,otavvlsekc@gmail.com,07500,0.0,False,True,False,B2,True,True,Si,10.0,9.35,5.81,4.69,NP,Son Servera
23268831F,1259790,PreZëncial,07950,+34 086947233,17/04/1975,M,cnthlnkd@yahoo.com,07038,0.0,False,True,False,C1,True,True,Si,6.11,NP,6.3,,1.77,Búger
78833027K,1231253,Certificat digital,07803,+34 435554763,22/07/1989,F,rwcuoljp@hotmail.com,07516,0.0,False,False,False,B1,True,True,Sí,0.58,,6.82,3.52,2.25,Felanitx
NI904093,6647196,PreZëncial,07805,+34 851998992,05/05/1994,M,kduawmsiv@gmail.com,07038,0.0,False,True,False,B1,True,True,Sí,6.26,7.35,NP,0.29,,Ibiza
99505971J,2207831,PreZëncial,07991,+34 153177432,12/01/2003,F,myepkoxwp@example.com,07404,0.0,False,True,False,C1,True,True,Sí,1.1,8.07,6.1,,7.9,Petra
88424345V,366104,PreZëncial,07991,+34 427970756,16/06/1999,M,njiwwyrcj@yahoo.com,07431,0.0,False,True,False,C1,True,True,Sí,6.38,9.67,7.81,,10.0,Petra
02796842L,9372979,Correu electrònic,07544,+34 865918451,18/01/1997,M,kravoia@gmail.com,07431,14.0,False,True,False,B2,True,True,Sí,NP,10.0,7.81,5.31,10.0,Lloseta
56361629Z,6004798,PreZëncial,07431,+34 626815492,11/10/1981,F,tekkyn@example.com,07803,0.0,False,True,False,B2,True,True,Sí,4.21,5.92,,4.43,7.29,Palma de Mallorca
JJ402583,2988071,PreZëncial,07737,+34 741789487,25/07/1993,M,rrrxcswhr@outlook.com,07657,34.0,False,True,False,B2,True,True,Sí,10.0,8.21,6.7,4.55,7.01,Mahón (Maó)
22530615E,8201878,Certificat digital,07805,+34 612730282,08/10/1981,F,ejakbwhecg@gmail.com,07805,0.0,False,True,False,B1,True,True,Sí,1.86,8.69,7.4,8.73,1.39,Ibiza
86803171K,4011285,PreZëncial,07158,+34 375354796,14/10/1976,M,qnfqju@gmail.com,07747,0.0,False,True,False,B1,True,True,Sí,NP,NP,6.65,1.39,1.12,Artà
XQ680437,8676996,PreZëncial,07603,+34 791360574,07/11/1988,F,zthme@gmail.com,07803,0.0,False,True,False,C1,True,True,Sí,10.0,6.76,7.99,NP,2.22,Son Servera
66075342E,7582947,Certificat digital,07516,+34 110178742,25/11/1982,F,uodhu@hotmail.com,07360,0.0,False,True,False,A2,True,True,Sí,10.0,6.62,7.98,6.87,1.25,Santanyí
KH379814,2031587,PreZëncial,07612,+34 036820501,24/05/2000,F,zxvmngy@hotmail.com,07431,0.0,False,True,False,B1,True,True,Sí,0.0,6.5,5.7,7.47,10.0,Alaior
TV791148,7780813,Correu electrònic,07792,+34 880941736,01/11/2004,F,jacatdvx@yahoo.com,07805,0.0,False,True,False,A2,True,True,Sí,10.0,9.89,6.08,NP,4.78,Algaida
51592262L,8765024,PreZëncial,07747,+34 932805487,11/02/1989,M,rgxomyua@hotmail.com,07603,0.0,False,True,False,B2,True,True,Sí,2.6,7.47,7.88,0.0,3.19,Inca
91123065D,69156,Certificat digital,07805,+34 962902011,21/10/1994,M,mkrnrxemj@hotmail.com,07158,0.0,False,True,False,B1,True,True,Sí,10.0,9.28,6.47,,10.0,Ibiza
73190814F,9021738,Correu electrònic,07158,+34 988193920,30/06/1986,F,cwknr@gmail.com,07431,0.0,False,False,False,B1,True,True,Sí,10.0,NP,7.49,7.2,7.35,Artà
05603126G,540459,Correu electrònic,07595,+34 090636869,16/07/1996,F,mwrypvrkqi@outlook.com,07200,0.0,False,True,False,B2,True,True,Sí,7.63,7.3,6.89,NP,NP,Llucmajor
UP646201,7252809,PreZëncial,07544,+34 191592245,08/12/1984,M,cdtgs@example.com,07038,0.0,False,True,False,B1,True,True,Sí,10.0,9.85,9.01,0.0,NP,Lloseta
25236640M,5580092,PreZëncial,07792,+34 169866962,16/12/1993,F,digdiynwvj@yahoo.com,07360,0.0,False,True,False,C1,True,True,Sí,7.78,NP,7.28,7.21,9.93,Algaida
XE275315,4797637,Correu electrònic,07805,+34 221568816,20/09/2001,M,ibbjdbsveq@hotmail.com,07360,0.0,False,True,False,B2,True,True,No,10.0,4.32,7.02,NP,4.68,Ibiza
YU576102,4957730,PreZëncial,07595,+34 525829594,11/02/1998,M,nwydaoh@outlook.com,07544,0.0,False,True,False,C2,True,True,Sí,10.0,8.46,7.27,NP,9.09,Llucmajor
78021358E,4329705,PreZëncial,07360,+34 415522883,21/03/2005,F,snxarvynz@outlook.com,07991,0.0,False,True,False,A2,True,True,Sí,6.62,7.19,7.45,10.0,5.07,Marratxí
OJ230913,3989926,PreZëncial,07404,+34 564332002,06/11/1975,N,guupk@example.com,07500,0.0,False,True,False,C1,True,True,Sí,6.1,7.42,5.98,3.17,9.68,Sant Antoni de Portmany
83749838F,2763997,PreZëncial,07950,+34 192040558,24/11/1994,F,nwlpmrpg@yahoo.com,07494,0.0,False,True,False,C1,True,True,Sí,9.39,9.55,NP,0.69,1.93,Búger
IN571597,7021544,Certificat digital,07404,+34 761878267,08/10/1998,N,bjsmf@outlook.com,07991,0.0,False,True,False,C1,True,True,Sí,0.0,NP,7.55,,NP,Sant Antoni de Portmany
12353776Q,8950587,PreZëncial,07905,+34 819843851,18/06/1980,M,cnetpa@yahoo.com,07222,0.0,False,True,False,B2,True,True,Sí,0.0,9.83,8.05,5.29,6.06,Sant Joan de Labritja
41233703Q,5909997,Certificat digital,07360,+34 249942601,14/08/1995,F,bklmnub@outlook.com,07121,10.0,False,True,False,A2,True,True,Sí,7.36,10.0,5.81,4.49,5.97,Marratxí
45186864Y,8203276,PreZëncial,07222,+34 840498874,12/05/1982,F,wjhtlytac@yahoo.com,07126,0.0,False,True,False,B2,True,True,Si,0.0,10.0,6.69,4.17,3.34,Pollença
71688283C,2793855,Certificat digital,07121,+34 229674907,18/03/1989,M,zkqpte@example.com,07950,0.0,False,True,False,B1,True,True,Sí,7.51,9.15,NP,,8.17,Alcúdia
06855498A,8854060,PreZëncial,07126,+34 097754656,24/03/1991,F,axkjnsnoo@outlook.com,07737,0.0,False,True,False,A2,True,True,No,1.53,8.6,6.22,NP,NP,Santa Eulalia del Río (Santa Eulària des Riu)
YH546060,246341,Certificat digital,07222,+34 181872150,25/11/1994,M,pzrtaprskn@hotmail.com,07805,0.0,False,True,False,B2,True,True,Sí,8.85,6.55,5.74,4.84,NP,Pollença
47617436F,5491747,PreZëncial,07516,+34 051090778,23/05/1985,M,fuqij@example.com,07915,70.0,True,True,False,A2,True,True,Sí,9.16,10.0,8.51,7.14,10.0,Santanyí
AK270249,438527,PreZëncial,07803,+34 203433450,15/02/1982,F,vyktnlus@outlook.com,07805,0.0,False,True,False,C2,True,True,Sí,8.27,8.29,7.58,5.5,NP,Felanitx
KU624943,635474,PreZëncial,07595,+34 019109451,25/10/1987,M,uxkdbm@example.com,07158,0.0,False,True,False,B1,True,True,Sí,10.0,10.0,NP,0.0,1.39,Llucmajor
